origin,car_model,mileage,exterior_color,num_of_doors,seating_capacity,transmission,engine_type,engine_capacity,drive_type,fuel_consumption,brand,grade,year_of_manufacture
0,0.833333333,8.85E-06,1,0.75,0.106382979,1,0,0.263636364,1,0.05,0.666666667,0.281318681,0.735294118
1,0.5,1.86E-05,1,0.75,0.106382979,1,0.666666667,0.281818182,0,0.35,0.583333333,0.138461538,0.794117647
1,1,1.63E-05,0.996093809,1,0.14893617,1,0,0.309090909,0.5,0.05,0.916666667,0.771428571,0.617647059
1,0.666666667,4.66E-06,0,1,0.14893617,1,0,0.263636364,0.25,0.05,0.666666667,0.382417582,0.911764706
1,0.666666667,6.98E-06,0.996093809,1,0.14893617,1,0,0.2,0.25,0.05,0.166666667,0.312087912,0.882352941
0,0.833333333,4.66E-06,1,0.75,0.106382979,1,0,0.263636364,1,0.4,0.666666667,0.727472527,0.882352941
1,0.833333333,2.33E-06,0,0.75,0.106382979,1,0,0.263636364,1,0.05,0,0.07032967,0.617647059
1,0.666666667,2.33E-06,0,1,0.106382979,1,0,0.254545455,0.25,0.05,0.833333333,0.204395604,0.941176471
0,0,1.58E-05,0,1,0.14893617,1,0,0.172727273,0.5,0.05,0.416666667,0.197802198,0.735294118
0,0.333333333,1.54E-05,0.001953125,0.25,0.063829787,0,0.666666667,0.209090909,1,0.05,0.416666667,0.36043956,0.911764706
1,0.5,1.58E-05,0,0.75,0.106382979,0,0.666666667,0.190909091,1,0.3,0.166666667,0.707692308,0.794117647
0,0.333333333,2.10E-05,1,1,0.042553191,0,0,0.081818182,1,0.35,0.833333333,0.810989011,0.852941176
0,0.666666667,6.98E-06,0.996093809,1,0.14893617,1,0,0.172727273,1,0.4,1,0.523076923,0.941176471
0,0,2.79E-06,0,1,0.106382979,1,0,0.136363636,0.5,0.05,0.833333333,0.024175824,0.941176471
